id_rna,titre,titre_court,objet,nature,date_creation,date_declaration,date_publication,date_dissolution,groupement,position,num_voie,type_voie,libelle_voie,lieu_dit,lat,lon,dt_maj
W9G2003127,GWADELOUPE & N DU DESERT,GWADELOUPE & N DU DESERT,fournir du matériel scolaire et sportif à des enfants démunis du sud Marocain en participant à une ou plusieurs éditions du raid humanitaire 4L Trophy à bord d'une Renault 4L,D,2014-05-22 00:00:00,2014-05-22 00:00:00,2014-07-26 00:00:00,,Simple,Active,2611,résidence,le Marissol,,16.215086,-61.52413,2014-09-02T16:40:56-04:00
W9G2004354,ASSOCIATION GUADELOUPEENNE DES MEDIATEURS PROFESSIONNELS,ASSOCIATION GUADELOUPEENNE DES MEDI...,"la promotion du développement de la médiation conventionnelle et judiciaire et la professionnalisation de ses acteurs en Guadeloupe, et plus généralement dans la zone caraïbes, du dialogue et de la qualité relationnelle dans la résolution des conflits, des actions d'information et de formation en médiation et la constitution au besoin d'un centre de ressources, d'informations sur la médiation en direction du grand public, des partenaires, des professionnels, la mise en place d'actions ayant pour objet de : représenter les intérêts des membres de l'association auprs des pouvoirs publics et des différents partenaires institutionnels, reconnaître, respecter et faire respecter par ses adhérents, le cadre éthique et déontologique, législatif et rglementaire relatifs à  l'exercice de leur missions, d'établir des relations de partenariat avec les services institutionnels de l'Etat, les collectivités locales, les milieux professionnels et les tribunaux et cours, afin de pouvoir intervenir en tant que médiateurs judiciaires pour la résolution des conflits, dans le respect de nos valeurs, participer et promouvoir les groupements locaux de structures de médiateurs quelque soit leur forme (fédération, ordre, union, etc.) ; la formation professionnelle : par l'étude et la promotion de méthodes et d'outils adaptés à  la médiation ; par la mise en place d'actions de recherche et de formation sur les pratiques professionnelles en médiation ; par la mise en place d'outils de veille et de formation continue;à  le ""nécessaire"" du médiateur : dans un souci d'efficacité et de qualité l'association pourra déterminer le matériel du médiateur qu'elle proposera à  tous ses membres ; la composition de ce ""nécessaire"" et son utilisation sont décrits dans le rglement intérieur ; de manire plus générale, contribuer à  toutes actions pouvant atteindre l'objet social de l'associationà",D,2016-11-10 00:00:00,2016-11-10 00:00:00,2016-12-24 00:00:00,,Simple,Active,43,,les Terrasses de la Digue,Bas du Fort,16.215063,-61.520016,2017-01-03T13:15:36-04:00
W9G2004645,ASSUMAN'S,ASSUMAN'S,"lutter contre la discrimination, briser l'isolement en créant des temps d'échanges mais aussi en faisant intervenir des professionnels de la santé, proposer diverses activités permettant de promouvoir une image positive des personnes qui ont du mal à s'assumer, favoriser les actions physiques, apprendre à s'accepter se mettre en valeur afin de réconcilier les personnes avec leurs corps et leurs images vis à vis d'elle même de la société de leur entourage, travailler sur l'estime de soi, la création de l'élection ""belles et pulpeuses guadeloupe pour miss ronde prestige france"", travailler en collaboration avec tous les partenaires qui soutiendront le projet ;",D,2017-07-12 00:00:00,2022-04-18 00:00:00,2017-08-05 00:00:00,,Simple,Active,49,lotissement,Belle Plaine,,16.214958,-61.495526,2022-10-18T16:00:04-04:00
W9G2004889,52 LES TURQUOISES,52 LES TURQUOISES,améliorer la vie de ses résidents,D,2017-11-28 00:00:00,2023-03-17 00:00:00,2017-12-23 00:00:00,2022-12-16 00:00:00,Simple,Dissoute,213,résidence,Les Turquoises,Impasse Pierrot Dunoyer,16.205387,-61.465368,2023-08-18T14:16:26-04:00
W9G2004993,CHIC,CHIC,"promouvoir la musique, la danse et le savoir faire Guadeloupéen essentiellement autour du carnaval et autres manifestations",D,2018-02-26 00:00:00,2019-10-18 00:00:00,2018-03-24 00:00:00,,Simple,Active,,route,de Bois Joly,Section Moreau,16.229731,-61.472339,2020-04-18T16:00:04-04:00
W9G2008415,CONSISTOIRE ANTILLES-GUYANE',CONSISTOIRE ANTILLES-GUYANE',"promouvoir les activites culturelles de ses membres, creer et resserer entre eux des liens de fraternite.",D,1998-06-10 00:00:00,2019-03-14 00:00:00,1998-07-04 00:00:00,2019-01-29 00:00:00,Simple,Dissoute,,lotissement,LAPS,Dampierre,16.229731,-61.472339,2019-03-23T08:45:58-04:00
W9G2001016,STOP A LA MISERE,STOP A LA MISERE,"freiner la misre quelle qu'elle soit pour les jeunes dont on ne s'occupe pas, les mals logés, les personnes âgées et autres, par la redistribution et reversement des dons privés et le fruit d'actions de sensibilisation",D,2010-07-16 00:00:00,2017-06-09 00:00:00,2010-08-07 00:00:00,2017-04-03 00:00:00,Simple,Dissoute,,impasse,Syracuse,SCI du Port Riou - Dampierre,16.229731,-61.472339,2017-07-08T08:45:37-04:00
W9G2001185,OASIS CLUB,OASIS CLUB,favoriser la promotion du sport auprs de la jeunesse guadeloupéenne,D,1999-01-14 00:00:00,2010-08-22 00:00:00,1901-07-01 00:00:00,,Simple,Active,,,,LABROUSSE,16.229731,-61.472339,2010-12-03T13:01:44-04:00
W9G2001576,GWAD'AS POKER CLUB,GWAD'AS POKER CLUB,permettre aux joueurs de poker de Guadeloupe et de ses alentours de pratiquer le poker légalement dans une bonne ambiance,D,2011-05-23 00:00:00,2011-05-23 00:00:00,2011-06-18 00:00:00,,Simple,Active,7,résidence,La Palmeraie,Pointe de la Verdure,16.208206,-61.502903,2011-06-17T10:41:03-04:00
W9G2001673,ASSOCIATION DES PARENTS D'ELEVES DES CLASSES DE L'OPTION SCIENCES DU COLLEGE EDMOND BAMBUCK (A.P.E.C.O.S DU COLLEGE E.BAMBUCK),A.P.E.C.O.S DU COLLEGE E. BAMBUCK,"récolter des fonds pour permettre aux élves de l'option science (scolarisés en classe de 5me, 4me et 3me) du collge E. Bambuck de réaliser des activités spécifiques (voyages d'études par exemple), d'organiser des manifestations festives et culturelles et d'aider les élves dans la réalisation de leurs projets dans le cadre de l'option science",D,2011-07-25 00:00:00,2015-01-12 00:00:00,2011-09-17 00:00:00,2014-11-29 00:00:00,Simple,Dissoute,1851,rue,de Mathurin,,16.226528,-61.501002,2018-12-13T18:01:17-04:00
W9G2002046,MIZIK'ALL,MIZIK'ALL,"regroupement musical, culturel, artistique et sportif des personnes résidant en Guadeloupe ou à l'extérieur de la Guadeloupe",D,2012-03-09 00:00:00,2012-03-09 00:00:00,2012-05-19 00:00:00,,Simple,Active,408,impasse,de la Carrire,Saint Félix,16.208728,-61.455549,2012-06-11T12:55:48-04:00
